122.37,114.30
79.90,150.53
134.75,91.63
122.34,135.34
116.44,64.62
117.09,126.89
121.03,58.40
135.27,85.82
145.71,87.11
133.99,86.03
131.39,80.64
133.92,75.21
126.78,117.67
127.81,82.02
115.89,130.00
110.35,137.39
117.26,133.67
127.11,94.21
132.19,100.30
90.25,149.84
97.24,136.85
133.21,99.87
132.58,116.63
135.24,94.17
136.95,88.60
141.02,86.26
142.90,80.51
125.27,104.73
118.12,113.23
115.82,113.54
114.73,111.25
115.43,113.09
114.40,113.35
115.54,114.39
113.41,112.39
114.65,113.30
113.87,112.54
112.79,112.19
115.33,113.56
113.21,112.30
114.64,113.24
113.39,112.79
113.80,112.32
114.32,112.53
113.83,112.05
115.08,112.84
114.15,112.67
113.55,112.37
114.44,112.81
113.28,112.33
